id	gene
1152	LOC100505545
1153	SMIM9
1154	MIR16-2
1155	MIRLET7D
1156	LINC00446
1157	MIR5010
1158	MIR4639
1159	MIR5006
1160	HAO2
1161	ANKRD63
1162	OR1M1
1163	LYZL6
1164	RAX
1165	SNORD52
1166	MIRLET7I
1167	MIR29C
1168	TFAP2D
1169	MIR181A2
1170	MIR3619
1171	SUSD3
1172	HMHB1
1173	SNORD1B
1174	SNORD113-2
1175	FGFBP1
1176	SNORD30
1177	SNORA70D
1178	PTX4
1179	PROKR2
1180	SNORD116-4
1181	SNORD85
1182	GNG8
1183	POU4F2
1184	OR6T1
1185	LRRC72
1186	SNORD81
1187	LINC00161
1188	OR4C45
1189	CHRNA6
1190	OR2T1
1191	KRTAP5-10
1192	OR5M1
1193	BPIFB4
1194	SP6
1195	GCSAML-AS1
1196	LINC00589
1197	BTLA
1198	COL4A2-AS1
1199	TTR
1200	ERVV-2
1201	TAAR6
1202	SPRR2E
1203	CCR7
1204	VAX1
1205	PCDHB1
1206	RGL3
1207	LOC100507391
1208	MIR1182
1209	MAFA
1210	LOC401463
1211	NOX3
1212	C7orf45
1213	LOC284294
1214	NKX2-5
1215	FOXD2
1216	SEMG1
1217	GIMAP7
1218	OR8B12
1219	TAAR9
1220	BMP10
1221	OR9A2
1222	CCDC54
1223	CGB7
1224	VNN3
1225	TTTY9A
1226	TTTY9B
1227	LOC340074
1228	AADAC
1229	CDX2
1230	RGS13
1231	CLDN10-AS1
1232	DAZ2
1233	LOC340107
1234	CXorf66
1235	SLC17A3
1236	GCNT3
1237	LOC100131047
1238	HYALP1
1239	PPYR1
1240	CARTPT
1241	SIGLEC7
1242	CD3E
1243	IL22RA2
1244	C10orf40
1245	WFDC12
1246	KNCN
1247	MAGEB3
1248	MAGEB16
1249	BTNL8
1250	OR56A1
1251	ZAR1L
1252	LRIT1
1253	C11orf91
1254	LOC284788
1255	SEMG2
1256	HBE1
1257	CST5
1258	BLK
1259	ARX
1260	TGM6
1261	NKX6-2
1262	PROKR1
1263	LINC00347
1264	HOXB13
1265	LILRA2
1266	CREB3L3
1267	TRIM55
1268	OR10R2
1269	TREM2
1270	SLC6A19
1271	TMEM61
1272	SIGLEC5
1273	CYP4F8
1274	CES1
1275	SCNN1A
1276	CXXC1P1
1277	SP8
1278	OR4C16
1279	OR8D4
1280	MYOC
1281	LOC100505964
1282	ART1
1283	KRTAP4-5
1284	LINC00442
1285	RCVRN
1286	VENTXP1
1287	P2RX3
1288	OR8B2
1289	LMAN1L
1290	KRT28
1291	CEACAM7
1292	LYPD2
1293	CTLA4
1294	PSG11
1295	S100A7L2
1296	TAAR2
1297	SPATA31A2
1298	SIM1
1299	PRLHR
1300	LINC00421
1301	KRT16P2
1302	ERG
1303	SNORD116-16
1304	TACSTD2
1305	LUZP4
1306	OR6C1
1307	C15orf32
1308	KRTAP5-4
1309	POTEA
1310	MLIP-IT1
1311	C11orf86
1312	MIR1279
1313	CNPY1
1314	OR4B1
1315	GMFG
1316	UGT1A6
1317	AFP
1318	CCDC70
1319	CLDN23
1320	LINC00661
1321	KLK15
1322	NLRP6
1323	LCP2
1324	FAM71B
1325	SNORD116-22
1326	PRSS38
1327	OR3A4P
1328	CD300LB
1329	LINC00571
1330	SIGLEC12
1331	FCER2
1332	GPR144
1333	FCN3
1334	KRTAP16-1
1335	KIRREL3-AS3
1336	CYP7A1
1337	MS4A8B
1338	CLRN1-AS1
1339	MAGEB1
1340	CXCL11
1341	OR4X1
1342	TPD52L3
1343	FGG
1344	EN2
1345	KLHL33
1346	GCSAM
1347	OR52H1
1348	CYMP
1349	ANO9
1350	OR9Q1
1351	LYPD4
1352	LINC00290
1353	OR5D14
1354	KRTAP4-1
1355	EBI3
1356	OR1J4
1357	LHX1
1358	PRSS45
1359	FLJ20518
1360	OR51F2
1361	LCN12
1362	OR2B3
1363	OR10T2
1364	OR1D2
1365	LOC100132354
1366	GLYCAM1
1367	ASCL3
1368	DLX6
1369	PLA2G1B
1370	LOC257358
1371	INSL4
1372	VCX2
1373	OR52N5
1374	PTGER1
1375	ELSPBP1
1376	PFN3
1377	LY6G6F
1378	OR4K15
1379	HPGDS
1380	UNC5B-AS1
1381	NKX2-1
1382	SERPINB7
1383	OR52A5
1384	SPRR1B
1385	SPINK8
1386	CRYBB1
1387	INMT-FAM188B
1388	OR4D1
1389	SPRR2A
1390	OR8B3
1391	OR8J1
1392	NAA11
1393	OR10J5
1394	MYH2
1395	SRY
1396	CDX4
1397	KLK2
1398	CYP4Z2P
1399	KRTAP13-1
1400	SPINT3
1401	KRT35
1402	MAGEB6
1403	DOK2
1404	ALDH3B2
1405	MBL2
1406	CST13P
1407	OR12D2
1408	UBQLN3
1409	GATA5
1410	KRT3
1411	HSD52
