source	target	weight
SERPINA5	KRTAP10-2	1
FEZF1-AS1	KRTAP10-2	1
FLJ46300	KRTAP10-2	1
LILRB5	KRTAP10-2	1
HS3ST6	KRTAP10-2	1
OR6C65	KRTAP10-2	1
GJA10	KRTAP10-2	1
MSC	KRTAP10-2	1
PAX2	KRTAP10-2	1
NKX3-2	KRTAP10-2	1
GTSF1L	KRTAP10-2	1
OR56B4	KRTAP10-2	1
MAGEA2	KRTAP10-2	1
C15orf53	KRTAP10-2	1
KRT16P3	KRTAP10-2	1
OR2C3	KRTAP10-2	1
MNX1	KRTAP10-2	1
OR6C74	KRTAP10-2	1
UBASH3A	KRTAP10-2	1
C20orf141	KRTAP10-2	1
LCE6A	KRTAP10-2	1
ALPPL2	DNAJB8	1
C10orf91	DNAJB8	1
CD300C	DNAJB8	1
HLA-DQA2	DNAJB8	1
MIR663B	DNAJB8	1
MOGAT2	DNAJB8	1
OR4E2	DNAJB8	1
OR4K13	DNAJB8	1
OR6Y1	DNAJB8	1
PCGEM1	DNAJB8	1
AA06	DNAJB8	1
KRTAP3-1	DNAJB8	1
MIR378C	DNAJB8	1
NR0B2	DNAJB8	1
